@relation 'AT: DataTable-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R411-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute 0.103FNC107+0.103FNC170+0.101FNC84+0.097FNC194+0.096FNC35... numeric
@attribute '0.146FNC122+0.13 FNC125+0.124FNC99+0.124FNC115+0.122FNC360...' numeric
@attribute '0.139FNC86-0.139FNC110+0.13 FNC79-0.128FNC118-0.122FNC100...' numeric
@attribute '0.14 FNC309-0.136FNC324+0.115FNC330-0.114FNC256-0.112FNC334...' numeric
@attribute -0.153FNC335-0.151FNC264-0.151FNC353-0.134FNC285+0.127FNC368... numeric
@attribute -0.132FNC159+0.132FNC153-0.127FNC167-0.126FNC162+0.123FNC350... numeric
@attribute -0.167FNC164-0.161FNC276-0.156FNC126+0.136FNC36-0.134FNC31... numeric
@attribute 0.156FNC11+0.124FNC344-0.12FNC228+0.118FNC158+0.113FNC299... numeric
@attribute '-0.158FNC277+0.15 FNC91-0.134FNC280+0.134FNC177-0.13FNC262...' numeric
@attribute '-0.141FNC57-0.136FNC202-0.127FNC104+0.125FNC78+0.12 FNC184...' numeric
@attribute -0.184SBM_map36-0.156SBM_map5-0.152SBM_map7+0.136FNC234-0.133SBM_map55... numeric
@attribute -0.136FNC321-0.132FNC106-0.13FNC59-0.123FNC191-0.121SBM_map4... numeric
@attribute '0.172SBM_map13+0.148SBM_map1+0.137SBM_map45+0.134FNC320+0.13 SBM_map69...' numeric
@attribute -0.173FNC298+0.131FNC304+0.129FNC40-0.122FNC56-0.121FNC223... numeric
@attribute 0.186FNC222-0.154FNC9-0.142FNC20+0.136FNC225+0.135FNC191... numeric
@attribute 0.162FNC155-0.144FNC233+0.132FNC162-0.132FNC288-0.124FNC306... numeric
@attribute -0.167FNC288+0.149FNC190-0.143FNC304-0.124SBM_map1-0.116FNC302... numeric
@attribute 0.166FNC47+0.144FNC2+0.136SBM_map22+0.136FNC333-0.132FNC266... numeric
@attribute -0.176FNC245+0.141FNC146-0.123FNC130+0.117FNC210+0.113FNC240... numeric
@attribute 0.205FNC205-0.157FNC195-0.124SBM_map17-0.121FNC199+0.121FNC40... numeric
@attribute 0.159FNC249+0.152FNC257-0.147FNC307-0.141FNC212-0.125FNC48... numeric
@attribute 0.154SBM_map55-0.146FNC22-0.129FNC114+0.127FNC197+0.125FNC103... numeric
@attribute 0.177FNC371+0.143FNC253-0.137FNC351-0.124SBM_map28-0.119SBM_map5... numeric
@attribute -0.162FNC66-0.15FNC157-0.143SBM_map4-0.142SBM_map1-0.131SBM_map52... numeric
@attribute 0.155FNC181+0.147FNC292-0.145FNC23+0.142FNC300+0.141FNC312... numeric
@attribute 0.186SBM_map26+0.163FNC304-0.144FNC45-0.137FNC180+0.134SBM_map40... numeric
@attribute -0.149FNC46+0.141FNC192-0.137FNC38-0.131FNC70-0.125FNC55... numeric
@attribute '-0.137FNC32-0.125SBM_map5-0.122FNC176+0.12 FNC185+0.115FNC342...' numeric
@attribute '-0.146FNC166+0.14 FNC211+0.137SBM_map72-0.133SBM_map69+0.132FNC5...' numeric
@attribute '0.162FNC221-0.155FNC218-0.146FNC54+0.14 SBM_map51+0.139FNC212...' numeric
@attribute -0.157FNC218-0.15FNC8-0.145FNC49-0.144FNC291+0.132SBM_map7... numeric
@attribute -0.17FNC375+0.147SBM_map8-0.146SBM_map3-0.145FNC56+0.134SBM_map73... numeric
@attribute '0.126SBM_map2+0.125FNC274+0.12 FNC256-0.119FNC177+0.119FNC169...' numeric
@attribute -0.15SBM_map72+0.149SBM_map71+0.143FNC176+0.132FNC153+0.128SBM_map55... numeric
@attribute '0.142FNC227+0.139FNC177+0.138FNC106-0.127FNC260+0.12 FNC178...' numeric
@attribute 0.168FNC39-0.161FNC37+0.157FNC232-0.154FNC345+0.147FNC75... numeric
@attribute -0.156FNC290-0.138FNC164+0.125FNC154+0.124FNC145+0.121FNC314... numeric
@attribute 0.215SBM_map6-0.186FNC22-0.165FNC235-0.137FNC370+0.129FNC231... numeric
@attribute -0.168FNC368+0.155FNC195-0.14SBM_map32+0.139FNC330+0.138FNC230... numeric
@attribute -0.142FNC275-0.131FNC143+0.127FNC209+0.127FNC341-0.123FNC23... numeric
@attribute -0.166FNC310-0.158FNC290-0.149SBM_map51-0.133FNC340+0.123FNC339... numeric
@attribute '-0.154FNC274+0.137FNC227+0.135FNC121-0.135FNC35+0.13 FNC142...' numeric
@attribute -0.185SBM_map64+0.152FNC230-0.147FNC26-0.137FNC321-0.137FNC332... numeric
@attribute -0.164FNC192+0.142FNC128-0.134SBM_map43-0.127FNC307+0.125FNC170... numeric
@attribute -0.149FNC33+0.126FNC77-0.125FNC136-0.125FNC58+0.121FNC61... numeric
@attribute -0.183SBM_map2+0.141FNC345-0.14FNC238-0.126FNC353+0.124SBM_map13... numeric
@attribute 0.158FNC280+0.154FNC161-0.131FNC103-0.127FNC149+0.125FNC311... numeric
@attribute 0.143SBM_map32+0.126FNC364+0.126SBM_map40-0.119SBM_map45+0.119FNC130... numeric
@attribute -0.157FNC202+0.143FNC301-0.141FNC168+0.135SBM_map48-0.132FNC136... numeric
@attribute -0.172FNC155+0.155FNC353-0.148FNC313-0.125FNC302+0.125SBM_map43... numeric
@attribute 0.222FNC308-0.17FNC20-0.131FNC70+0.125FNC288-0.124FNC71... numeric
@attribute '-0.221FNC32+0.16 FNC275+0.15 SBM_map13-0.135FNC33-0.133FNC338...' numeric
@attribute '0.154FNC291+0.136FNC299+0.13 FNC316+0.13 FNC182+0.13 FNC74...' numeric
@attribute 0.194SBM_map52-0.158FNC352-0.155SBM_map26-0.146FNC252-0.141SBM_map13... numeric
@attribute -0.147SBM_map32+0.136FNC258-0.129FNC16+0.126SBM_map71+0.124FNC182... numeric
@attribute -0.19FNC29-0.147SBM_map3-0.14FNC32-0.13FNC33+0.126FNC129... numeric
@attribute -0.175SBM_map55+0.156SBM_map69-0.147FNC161-0.143FNC371+0.127SBM_map4... numeric
@attribute 0.149FNC307-0.143FNC221-0.14FNC189+0.136FNC173-0.135SBM_map6... numeric
@attribute -0.14FNC13-0.136FNC345+0.128FNC32+0.125SBM_map5-0.123FNC327... numeric
@attribute Class {T,F}

@data
-2.593407,-3.145834,-2.071937,-2.168699,-2.104173,4.617358,-0.817456,4.066853,1.251951,-0.900584,3.418386,1.588502,1.012761,2.155566,-4.671257,-6.1387,-2.472971,-1.114519,-0.876597,-4.091558,1.272721,2.536405,1.129127,-0.76108,-0.528799,3.232079,1.10665,2.983334,-2.479304,0.115291,-0.456732,4.639624,0.659763,-0.544125,0.484649,2.549333,0.60716,-1.279791,2.227351,-1.554382,1.683906,0.139051,1.267878,1.144501,-0.172471,2.75609,-1.282268,1.346096,3.789119,-0.741068,1.621652,-1.483056,-0.38589,0.173487,0.317472,-0.119202,-0.798104,1.110038,1.609667,T
6.269013,4.803991,2.768334,-1.519191,0.858199,1.295325,1.996313,-2.492739,2.489355,1.317455,-4.749061,-5.357777,-0.486672,3.640655,-0.688945,0.708708,3.095719,5.233256,-3.537321,-0.414486,4.010987,0.974571,1.487082,-0.007343,3.295621,1.682855,-1.350199,-0.92312,-0.89513,-1.185717,0.457673,-1.037857,-2.441175,0.767705,3.218905,1.253692,-0.489046,0.053116,-0.82342,-1.30188,-0.217035,-0.078977,-0.348098,0.026473,-0.339243,-1.171645,2.306195,-0.827361,1.052771,-0.348721,1.588431,-1.147787,1.429224,-1.098685,2.079532,-0.093921,-0.041368,0.153219,-1.149795,F
-0.164073,8.301998,2.236806,2.369778,2.339134,0.061442,-0.091977,3.790146,2.670859,0.037581,-1.930439,4.358773,0.433211,-0.647073,-3.239796,-0.150629,-1.781159,0.030664,-3.760647,3.060235,3.340717,0.591448,1.062567,1.459357,3.321014,5.00646,1.085443,-0.409727,-1.701577,0.838513,-2.330365,-1.66519,-0.757383,-1.443729,-2.281698,0.067639,-0.649686,0.645354,2.670806,-1.571431,-1.078296,0.418482,-1.19886,-2.477165,-3.952895,-0.404842,0.080148,-0.419041,-1.41014,-1.899588,1.373315,-0.022114,-0.286574,0.892995,2.113855,1.256976,-0.443136,1.447193,0.278049,F
15.966471,-0.11215,-3.069522,-3.41269,-1.829506,4.127496,-1.558711,0.081913,0.537962,0.117988,0.949883,-2.108505,-2.759914,-3.327364,-1.021346,0.399919,0.246926,-1.932395,1.721879,0.415328,2.011527,0.913542,0.802656,0.582334,3.030218,-2.05068,-0.968277,-2.694534,1.593399,0.672771,-0.850432,-1.876522,0.684746,-2.971111,-0.254063,-0.829865,3.381781,1.914644,1.200344,0.151871,0.325298,-0.201541,-3.122208,-0.110616,-0.250685,-0.501308,-1.350349,1.145807,1.311692,0.296849,-2.852845,1.246254,-2.39259,0.864628,0.356016,-1.71313,-1.017123,0.861645,0.634249,F
-4.012201,2.767309,2.970002,-1.61396,-8.086567,0.914858,1.708382,-1.616548,0.438226,-5.99136,-2.735287,0.581477,2.291953,-2.854187,-0.239028,0.548089,0.892015,0.455487,3.912747,1.988305,3.728752,-1.22994,-1.323094,-0.137335,0.021537,1.71761,-2.915139,1.50536,0.414844,1.042621,-1.098935,-2.223224,-1.474901,2.408741,1.518043,-2.023539,0.450797,-1.087754,-0.792773,-1.993758,1.931701,1.660394,-0.539087,3.035234,1.563797,1.497696,0.338951,-0.059173,-1.549137,0.322005,-3.2058,-1.092927,0.706546,0.184458,0.926109,0.553572,1.663539,-1.336146,-0.542435,T
2.959764,-4.28388,-0.853005,-0.202991,-1.525196,-4.896755,5.930975,2.212286,-2.746268,1.581309,1.6582,-1.022811,2.062993,4.284238,0.52991,1.178897,-2.187858,-2.155537,-7.139587,-2.557852,0.494648,-3.195178,-1.578886,1.236257,-1.172715,0.574456,-2.190498,0.65027,4.569252,2.369417,-5.987041,-0.320283,4.451969,2.476566,-0.219843,-2.007987,1.850087,-0.629118,2.243624,2.400127,1.82469,1.398932,0.051485,1.126038,-1.619514,0.950874,-0.983954,-0.018384,-0.927294,3.451681,2.41638,-0.397996,-0.576126,-1.38183,-0.556333,0.571047,1.111949,-0.094405,-0.645484,T
-5.808864,5.780262,-2.783499,9.191879,-4.024715,1.018985,-2.810222,-6.220359,-0.68774,4.475959,3.338632,0.778749,-2.691407,-0.556493,2.721403,2.750535,-2.347679,-0.473522,0.280933,-4.457836,1.529078,3.467539,-3.285905,-4.792642,-0.366834,1.975088,0.875404,-0.454857,3.550467,-2.264154,2.720276,1.490744,-0.180488,-1.131171,5.444003,-2.430437,3.873685,0.241156,2.3272,0.956111,1.892914,-1.154239,-2.17584,-0.314681,-2.337767,0.537695,1.834323,0.148906,-2.217643,-1.010554,-0.081652,0.037426,0.626354,-1.084137,-0.393639,0.61958,0.295027,2.149013,-0.720201,T
-12.420593,5.786699,10.172977,2.777645,-6.685635,0.174007,-2.36048,-1.385097,-2.667656,2.645194,-0.611423,-4.116229,-6.612499,2.397636,-3.162173,-3.35798,-1.659041,-4.28357,1.591942,1.010364,1.913934,-0.064192,2.33792,0.143274,-1.227989,-1.664203,-0.725211,1.318275,0.159035,-0.633378,-1.558594,-1.687515,-1.228293,1.837378,-1.190062,-0.076951,1.599445,-1.27069,-1.946462,-1.218746,0.429564,0.749642,1.63718,1.558818,-1.293817,-0.800317,-0.601405,-0.806869,0.127383,0.728106,-0.049772,1.084377,2.059362,-1.806535,-1.143374,-3.277887,-2.698024,0.92281,-1.169416,F
2.749402,9.870455,12.439136,0.764248,6.958352,-6.075448,-2.622807,-5.862275,12.977144,5.006963,2.370728,0.25251,6.402435,-5.684351,-0.898495,-3.73416,1.208788,-1.283065,-0.840673,-3.365175,1.023628,-3.442211,0.005353,-1.613607,-3.242212,-0.384167,0.470338,2.482832,-2.877386,-0.3075,-1.327368,-0.407281,-0.739226,0.796658,0.407522,1.891351,0.819674,2.802076,-1.425449,1.587378,1.132864,1.36588,-0.434926,-0.39082,0.689931,1.380498,0.80353,-0.892165,0.240829,1.788804,-1.600611,0.448265,-1.490658,-0.583016,0.200144,0.509294,-0.417636,-0.451247,-0.570595,T
2.888303,5.08162,-2.069755,-1.755756,0.702109,1.261181,4.493966,-1.817465,-0.506679,-1.713122,-0.578879,-1.223993,-3.763164,-1.796392,1.027144,2.731056,0.989454,4.573587,-0.792662,-1.938504,-0.632932,-1.51711,2.28477,-0.812675,2.061257,-1.086253,2.265533,2.200448,-2.411701,2.427476,1.252217,-3.851072,1.901372,1.785265,2.31519,-1.09997,-2.50395,-1.819932,-1.620317,0.917307,-0.76411,-0.384386,-0.544356,2.400902,-3.693569,-3.902082,0.180551,-1.944833,2.734345,1.302161,0.139141,-0.074704,-0.420925,-0.754015,-1.372444,0.060867,1.248702,0.133716,0.780453,F
