Id,Class
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(-inf-557409.5]\'','\'(0.5-inf)\''
'\'(-inf-557409.5]\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
'\'(557409.5-inf)\'','\'(-inf-0.5]\''
'\'(557409.5-inf)\'','\'(0.5-inf)\''
